Title,Directed by,Music by,Budget,Superstar,Trailer ,Trailer Likes,Profit/Loss
Naa Nuvve,Jayendra Panchapakesan,Sharreth,12.5,Yes,8453989,30000,0.5
Sammohanam,Mohana Krishna Indraganti,Vivek Sagar,12.5,Yes,1240573,15000,3.2
Ee Nagaraniki Emaindhi,Tharun Bhascker,Vivek Sagar,2,Yes,65806,910,10
RX 100 (film),Ajay Bhupathi,"Chaitan Bharadwaj
Smaran",2,Yes,2048406,5200,24
Aatagadharaa Siva,Chandra Siddhartha,Nobin Paul,2.5,No,288369,2000,-1
Saakshyam,Sriwass,Harshavardhan Rameshwar,12,Yes,9027855,78000,10.7
Happy Wedding (2018 film),Lakshman Karya,S. Thaman,1.7,Yes,1202156,13000,12.8
Srinivasa Kalyanam (2018 film),Satish Vegesna,Mickey J. Meyer,25.5,Yes,6009095,65000,-13.5
Nartanasala (2018 film),Srinivas Chakravarthi,Mahati Swara Sagar,15,No,8801201,15000,-9
Hello Guru Prema Kosame,Trinadha Rao Nakkina,Devi Sri Prasad,5,Yes,9265995,120000,30
Adhugo,Ravi Babu,Prashanth R Vihari,2,No,403301,4000,2
Amar Akbar Anthony (2018 film),Srinu Vaitla,S. S. Thaman,10,Yes,8344855,114000,20
Taxiwaala,Rahul Sankrityan,Jakes Bejoy,7,Yes,9569558,133000,33
24 Kisses,Ayodhyakumar Krishnamsetty,Joi Barua,6.5,No,3862542,17000,-3
Kavacham (2018 film),Sreenivas Mamilla,S. Thaman,20,Yes,1718649,14000,-14
Antariksham 9000 KMPH,Sankalp Reddy,Prashanth R Vihari,27.5,Yes,7017374,148000,-19
Bluff Master (2018 film),Gopiganesh Pattabhi,Sunil Kashyap,6.5,No,612201,11000,-3.2
Saaho,Sujeeth,"Songs:
Tanishk Bagchi
Guru Randhawa
Badshah
Shankar?Ehsaan?Loy
Score:
Ghibran[1]",350,Yes,34873919,580000,89
Sye Raa Narasimha Reddy,Surender Reddy,"Amit Trivedi (songs)
Julius Packiam (score)",225,Yes,23380379,435000,15
Maharshi (2019 film),Vamshi Paidipally,Devi Sri Prasad,115,Yes,27636313,382000,72
F2: Fun and Frustration,Anil Ravipudi,Devi Sri Prasad,30,Yes,14731687,163000,103
Vinaya Vidheya Rama,Boyapati Srinu,Devi Sri Prasad,70,Yes,38330422,452000,-7
iSmart Shankar,Puri Jagannadh,Mani Sharma,17.5,Yes,27121123,306000,62.5
Venky Mama,K. S. Bobby,S. Thaman,35,Yes,10144354,179000,37
Majili,Shiva Nirvana,Gopi Sunder,20,Yes,9943652,170000,50
Jersey (2019 film),Gowtam Tinnanuri,Anirudh Ravichander,25,Yes,11299634,280000,27
Prati Roju Pandage,Maruthi,S. Thaman,25,Yes,8601908,156000,40
NTR: Kathanayakudu,Krish Jagarlamudi,M. M. Keeravani,54,Yes,18407528,219000,-36
Yatra (2019 film),Mahi V Raghav,K,12,No,4413025,121000,16.5
Lakshmi's NTR,"Ram Gopal Varma
Agasthya Manju",Kalyani Malik,2.5,No,11923082,230000,4.5
Prema Katha Chitram 2,Hari Kishan,Jeevan Babu,3,Yes,1378114,9300,8
Chitralahari (film),Kishore Tirumala,Devi Sri Prasad,15,Yes,5859196,78000,10
Chikati Gadilo Chithakotudu,Santhosh P. Jayakumar,Balamurali Balu,2,No,274751,984,0.5
Maharshi (2019 film),Vamshi Paidipally,Devi Sri Prasad,115,Yes,27636313,382000,72.5
ABCD: American Born Confused Desi (2019 film),Sanjeev Reddy,Judah Sandhy,4.5,No,7062449,94000,8
Sita (2019 film),Teja,Anup Rubens,25,Yes,5031962,54000,-19
Devi 2,A. L. Vijay,Sam C. S.,25,Yes,3529735,33000,-5
1st Rank Raju (2019 film),Naresh Kumar HN,Kiran Ravindranath,3,No,506004,4300,13.5
Brochevarevarura,Vivek Athreya,Vivek Sagar,5,Yes,2134966,34000,15
Dorasaani,KVR Mahendra,Prashanth R Vihari,2,No,3166798,40000,0
Dear Comrade,Bharat Kamma,Justin Prabhakaran,25,Yes,18802552,415000,12
Kathanam,Rajesh Nadendla,Roshan Salur,2,No,515678,2400,23
Kobbari Matta,Sai Rajesh,Kamran,1,No,910397,11000,2
Evaru,Venkat Ramji,Sricharan Pakala,8,Yes,656553,7000,13.12
Nani's Gang Leader,Vikram Kumar,Anirudh Ravichander,40,Yes,6886823,137000,5
Gaddalakonda Ganesh,Harish Shankar,Mickey J. Meyer,25,Yes,1468761,29000,17.5
Chanakya (2019 film),Thiru,"Songs:
Vishal Chandrasekhar
Sricharan Pakala
Score:
Sricharan Pakala",15,Yes,6814939,118000,25
Evvarikee Cheppoddu,Basava Shanker,Shankar Sharma,1,No,1178908,15000,1
Ala Vaikunthapurramuloo,Trivikram Srinivas,Thaman S,100,Yes,35729574,630000,180
Pushpa: The Rise,Sukumar,Devi Sri Prasad,180,Yes,71668546,1400000,185
Vakeel Saab,Venu Sriram,S. Thaman,70,Yes,49105016,1300000,67.65
Akhanda,Boyapati Srinu,Thaman S,60,Yes,40112772,622000,127
Uppena,Buchi Babu Sana,Devi Sri Prasad,14,Yes,31123212,514000,77.5
Krack (film),Gopichand Malineni,Thaman S,45,Yes,24821199,426000,25.6
Jathi Ratnalu,Anudeep K. V.,Radhan,6,No,22217787,515000,64
Shyam Singha Roy,Rahul Sankrityan,Mickey J. Meyer,40,Yes,14509762,456000,6
Love Story (2021 film),Sekhar Kammula,Pawan Ch,30,Yes,15200290,487000,30
Most Eligible Bachelor,Bhaskar,Gopi Sundar,24,Yes,12359452,289000,27
Rang De,Venky Atluri,Devi Sri Prasad,30,Yes,15997261,229000,-1.2
Mail (film),Uday Gurrala,"Sweekar Agasthi
Kamran",5,No,1542636,43000,-1
Red (2021 film),Kishore Tirumala,Mani Sharma,20,Yes,248629,5800,20
Super Over (film),Praveen Varma,Sunny M. R.,6,No,245097,6500,4
Bangaru Bullodu (2021 film),P. V. Giri,Sai Karthik,12.5,No,3023469,94000,10.5
30 Rojullo Preminchadam Ela,Dhulipudi Phani Pradeep (Munna),Anup Rubens,6,No,6627219,190000,7
Zombie Reddy,Prasanth Varma,Mark K. Robin,4,No,9019293,162000,6.33
Pitta Kathalu,"Nag Ashwin
B.V. Nandini Reddy
Tharun Bhascker
Sankalp Reddy","Songs:
Vivek Sagar
Mickey J. Meyer
Sanjith Hegde?Soorya Praveen
Prashanth R Vihari
Score:
Smaran",15,Yes,2260299,29000,-10
Sreekaram,Kishor B,Mickey J. Meyer,25,Yes,8546356,222000,19.65
Love Life & Pakodi,Jayanth Gali,Pavan,1,No,1479599,3700,0.5
Chaavu Kaburu Challaga,Pegallapati Koushik,Jakes Bejoy,5.5,Yes,8227603,162000,5.5
Thellavarithe Guruvaram,Manikanth Gelli,Kaala Bhairava,3,No,2971044,33000,-2.5
Cinema Bandi,Praveen Kandregula,"Satyavolu Sirish
Varun Reddy",1.5,No,1454454,41000,0.4
Ek Mini Katha,Karthik Rapolu,Pravin Lakkaraju,5,No,98894,994,-3
Pachchis,"Sri Krishna
Rama Sai",Smaran,1,No,2954709,4000,0.5
Thimmarusu,Sharan Koppisetty,Sricharan Pakala,2.6,No,6459869,94000,-0.7
Paagal,Naresh Kuppili,"Radhan
Leon James (1 song)",10,No,7652587,260000,0
Raja Raja Chora,Hasith Goli,Vivek Sagar,4,Yes,2353377,57000,3
Sridevi Soda Center,Karuna Kumar,Mani Sharma,4,No,8247708,205000,5
RRR,S. S. Rajamouli,M. M. Keeravani,600,Yes,84080166,1900000,533
Salaar: Part 1 ? Ceasefire,Prashanth Neel,Ravi Basrur,270,Yes,51285939,1400000,440
Adipurush,Om Raut,"Score:
Sanchit Balhara
Ankit Balhara
Songs:
Ajay-Atul
Sachet?Parampara",600,Yes,29811357,671000,-246
Waltair Veerayya,Bobby Kolli,Devi Sri Prasad,140,Yes,23583632,581000,85.7
Veera Simha Reddy,Gopichand Malineni,S. Thaman,100,Yes,24443205,537000,34
Vaathi,Venky Atluri,G. V. Prakash Kumar,47.5,No,2120637,39000,70.5
Dasara (film),Srikanth Odela,Santhosh Narayanan,65,Yes,3314776,67000,52.5
Bhagavanth Kesari,Anil Ravipudi,Thaman S,100,Yes,22948628,325000,15
Bro (2023 film),Samuthirakani,Thaman S,50,Yes,37301043,601000,65.5
Virupaksha (film),Karthik Varma Dandu,B. Ajaneesh Loknath,44,Yes,13994758,186000,46.85
Baby (2023 film),Sai Rajesh Neelam,Vijay Bulganin,10,No,21404420,369000,90
Veera Simha Reddy,Gopichand Malineni,S. Thaman,100,Yes,24443207,537000,34
Waltair Veerayya,Bobby Kolli,Devi Sri Prasad,140,Yes,23583633,581000,85.7
Kalyanam Kamaneeyam (film),Anil Kumar Aalla,Shravan Bharadwaj,5,No,373385,9700,2
Hunt (2023 film),Mahesh Surapaneni,Ghibran,14,No,17957,213,-12.07
Butta Bomma (film),Shouree Chandrasekhar T. Ramesh,"Gopi Sundar
Sweekar Agasthi",1,No,6555659,63000,1
Amigos (film),Rajendra Reddy,Ghibran,26,Yes,13582463,205000,-14.3
Vaathi,Venky Atluri,G. V. Prakash Kumar,50,No,2120637,39000,68
Vinaro Bhagyamu Vishnu Katha,Murali Kishor Abburu,Chaitan Bharadwaj,7.5,No,449049,10000,-0.9
Mr. King,Sasiidhar Chavali,Mani Sharma,15,No,119506,1000,-7
CSI Sanatan,Sivashankar Dev,Aneesh Solomon,15,No,224721,2300,-7
